,year,country,admin1,admin2,hhid,hhweight,urban,hhsize,head_age,head_male,head_literate,nrooms,tv,music,fridge,exp,totbiom_cons,elec_cons,gas_cons,frwd_exp,frwd_cons,petrol_exp,scooter,car,publictransport_exp,publictransport,washmach,elec_any
121,2011,IND,Jammu and Kashmir,Srinagar,103010801,1844.57654723,1,6.0,65.0,1.0,0.0,5.0,1,,0,2021.5124575259167,0.0,1.62,1.516129032258065,0.0,0.0,0.0,0,0,300.2840845998083,1,1,1
122,2011,IND,Jammu and Kashmir,Srinagar,103011001,1844.57654723,1,5.0,56.0,1.0,1.0,,1,,1,,0.0,2.16,1.8193548387096778,0.0,0.0,0.0,0,0,90.0852253799426,1,0,1
123,2011,IND,Jammu and Kashmir,Srinagar,103011101,1844.57654723,1,4.0,60.0,1.0,0.0,3.0,1,,1,3524.772120543125,0.375,2.16,0.9096774193548375,0.0,0.0,0.0,0,0,90.08522537994276,1,1,1
124,2011,IND,Jammu and Kashmir,Srinagar,103011401,1844.57654723,1,7.0,35.0,1.0,1.0,5.0,1,,1,,0.24489795918367346,1.2342857142857144,1.0916129032258057,0.0,0.0,0.0,0,0,64.34658955710185,1,1,1
125,2011,IND,Jammu and Kashmir,Srinagar,103011501,1844.57654723,1,6.0,52.0,1.0,1.0,,1,,1,3907.3465561601497,0.3333333333333333,1.26,1.2735483870967734,0.0,0.0,2702.55676139828,0,1,,1,1,1
126,2011,IND,Jammu and Kashmir,Srinagar,103020101,1844.57654723,1,8.0,44.0,1.0,1.0,5.0,1,,1,2854.8758633115376,0.09375,1.3905,1.18258064516129,0.0,0.0,468.443171975702,0,0,112.60653172492837,1,1,1
127,2011,IND,Jammu and Kashmir,Srinagar,103020201,1844.57654723,1,5.0,40.0,1.0,0.0,3.0,1,,0,2005.29711695752,0.0,1.7280000000000002,1.0916129032258062,0.0,0.0,0.0,0,0,18.01704507598854,1,0,1
128,2011,IND,Jammu and Kashmir,Srinagar,103020401,1844.57654723,1,2.0,66.0,1.0,0.0,2.0,1,,0,2418.48801736686,1.5,3.564,1.819354838709675,0.0,0.0,0.0,0,0,90.0852253799425,1,0,1
129,2011,IND,Jammu and Kashmir,Srinagar,103020501,1844.57654723,1,9.0,66.0,1.0,1.0,4.0,1,,1,2084.538750393589,0.1851851851851852,1.4400000000000002,1.0511827956989244,0.0,0.0,0.0,0,0,50.04734743330144,1,1,1
130,2011,IND,Jammu and Kashmir,Srinagar,103020601,1844.57654723,1,1.0,62.0,0.0,0.0,1.0,1,,0,7366.56916340251,0.0,6.048,8.18709677419355,0.0,0.0,0.0,0,0,180.170450759885,1,1,1
131,2011,IND,Jammu and Kashmir,Srinagar,103020701,1844.57654723,1,5.0,38.0,1.0,0.0,1.0,1,,1,2019.47052575064,0.0,4.32,0.545806451612904,0.0,0.0,0.0,0,0,54.051135227965595,1,1,1
132,2011,IND,Jammu and Kashmir,Srinagar,103020801,1844.57654723,1,5.0,41.0,1.0,0.0,1.0,0,,0,3505.39628998432,0.0,1.296,0.909677419354838,0.0,0.0,0.0,0,0,,1,0,1
133,2011,IND,Jammu and Kashmir,Srinagar,103020901,1844.57654723,1,10.0,66.0,1.0,1.0,,0,,0,1367.01326673217,0.0,0.47519999999999996,0.800516129032258,0.0,0.0,0.0,0,0,18.0170450759885,1,0,1
134,2011,IND,Jammu and Kashmir,Srinagar,103021001,1844.57654723,1,7.0,,1.0,0.0,7.0,1,,1,,0.0,1.8514285714285716,1.2995391705069128,0.0,0.0,0.0,0,0,0.0,0,1,1
135,2011,IND,Jammu and Kashmir,Srinagar,103021101,1844.57654723,1,5.0,57.0,1.0,0.0,3.0,1,,1,2703.87801137052,0.24,2.16,1.892129032258064,0.0,0.0,0.0,0,0,54.051135227965595,1,1,1
136,2011,IND,Jammu and Kashmir,Srinagar,103021201,1844.57654723,1,5.0,47.0,1.0,1.0,,1,,1,6564.81065752102,0.0,1.7280000000000002,1.8193548387096778,0.0,0.0,2252.13063449857,0,1,540.511352279656,1,1,1
137,2011,IND,Jammu and Kashmir,Srinagar,103021301,1844.57654723,1,7.0,43.0,1.0,0.0,3.0,1,,1,2135.405921041986,0.0,1.4657142857142857,1.1565898617511514,0.0,0.0,0.0,0,0,231.64772240556712,1,1,1
138,2011,IND,Jammu and Kashmir,Srinagar,103021401,1844.57654723,1,3.0,42.0,1.0,1.0,3.0,1,,0,2389.21031911838,0.0,2.52,1.5161290322580634,0.0,0.0,0.0,0,0,30.0284084599809,1,0,1
139,2011,IND,Jammu and Kashmir,Srinagar,103030101,1844.57654723,1,2.0,64.0,0.0,0.0,1.0,1,,0,1955.900385040855,0.0,3.78,3.82064516129032,0.0,0.0,0.0,0,0,0.0,0,0,1
140,2011,IND,Jammu and Kashmir,Srinagar,103030401,1844.57654723,1,6.0,47.0,1.0,1.0,4.0,1,,1,1887.9360872264333,0.0,1.26,1.2735483870967734,0.0,0.0,0.0,0,0,0.0,0,1,1
141,2011,IND,Jammu and Kashmir,Srinagar,103030701,1844.57654723,1,7.0,35.0,1.0,1.0,4.0,1,,1,2104.262171696343,0.0,1.0799999999999998,1.2995391705069128,0.0,0.0,0.0,0,0,128.69317911420384,1,1,1
142,2011,IND,Jammu and Kashmir,Srinagar,103030801,1844.57654723,1,4.0,38.0,1.0,1.0,4.0,1,,1,3260.259377521275,0.0,1.62,1.91032258064516,0.0,0.0,0.0,0,0,67.563919034957,1,1,1
