"year","country","admin1","variable","value"
"2004","IND","Madhya Pradesh","totbiom_cons",1.75856730859213
"2004","IND","Maharashtra","totbiom_cons",1.00542963682815
"2004","IND","Manipur","totbiom_cons",1.27912060666609
"2004","IND","Meghalaya","totbiom_cons",2.41669760896219
"2004","IND","Mizoram","totbiom_cons",0.413443085811786
"2004","IND","Nagaland","totbiom_cons",1.4027806498952
"2004","IND","Orissa","totbiom_cons",1.84739961420452
"2004","IND","Pondicherry","totbiom_cons",1.21184570818753
"2004","IND","Punjab","totbiom_cons",0.466693159046327
"2004","IND","Rajasthan","totbiom_cons",1.67003856064829
"2004","IND","Sikkim","totbiom_cons",0.46716137157881
"2004","IND","Tamil Nadu","totbiom_cons",1.73518350111074
"2004","IND","Tripura","totbiom_cons",2.28660139381411
"2004","IND","Uttar Pradesh","totbiom_cons",1.13599815861769
"2004","IND","Uttaranchal","totbiom_cons",1.18516537371965
"2004","IND","West Bengal","totbiom_cons",1.51032759725875
"2005","GHA","Ashanti","elec_cons",0.501582042453375
"2005","GHA","Brong Ahafo","elec_cons",0.219995241641218
"2005","GHA","Central","elec_cons",0.423742488194667
"2005","GHA","Eastern","elec_cons",0.245193675942372
"2005","GHA","Greater Accra","elec_cons",1.15364558729033
"2005","GHA","Northern","elec_cons",0.0418317596067509
"2005","GHA","Upper East","elec_cons",0.109575510175115
"2005","GHA","Upper West","elec_cons",0.0419541696550779
"2005","GHA","Volta","elec_cons",0.0535833223224603
"2005","GHA","Western","elec_cons",0.260114666955043
"2005","GHA","Ashanti","gas_cons",0.0801390816700289
"2005","GHA","Brong Ahafo","gas_cons",0.0416692130470825
"2005","GHA","Central","gas_cons",0.0179774721032994
"2005","GHA","Eastern","gas_cons",0.030555349753534
"2005","GHA","Greater Accra","gas_cons",0.325662471879018
"2005","GHA","Northern","gas_cons",0.00650161098205227
"2005","GHA","Upper East","gas_cons",0.0173044101951689
"2005","GHA","Upper West","gas_cons",0.00861027997230929
"2005","GHA","Volta","gas_cons",0.0638435225644325
"2005","GHA","Western","gas_cons",0.0119760943460336
"2005","GHA","Ashanti","totbiom_cons",0.606780387346162
"2005","GHA","Brong Ahafo","totbiom_cons",0.945740126986144
"2005","GHA","Central","totbiom_cons",1.48262254747208
"2005","GHA","Eastern","totbiom_cons",1.08622354519311
"2005","GHA","Greater Accra","totbiom_cons",0.525140746540395
"2005","GHA","Northern","totbiom_cons",0.82040679478139
